order_id,order_date,customer_id,product_id,product_name,category,price,quantity,revenue,payment_method,country,order_month,order_day,order_year
O00035,2024-10-24,C0185,P009,Gold Necklace,Jewellery,12000,1,12000,Card,Kenya,2024-10,2024-10-24,2024
O00036,2024-01-02,C0090,P009,Gold Necklace,Jewellery,12000,1,12000,Paypal,Rwanda,2024-01,2024-01-02,2024
O00037,2024-01-09,C0197,P005,Smartphone Case,Electronics,800,3,2400,Card,Kenya,2024-01,2024-01-09,2024
O00038,2024-04-29,C0131,P004,Wireless Headphones,Electronics,7200,3,21600,Cash,Tanzania,2024-04,2024-04-29,2024
O00039,2024-04-13,C0113,P008,Scented Candle,Home Decor,600,2,1200,Mpesa,Kenya,2024-04,2024-04-13,2024
O00040,2024-12-03,C0099,P009,Gold Necklace,Jewellery,12000,1,12000,Mpesa,Kenya,2024-12,2024-12-03,2024
O00041,2024-03-08,C0189,P009,Gold Necklace,Jewellery,12000,1,12000,Card,Kenya,2024-03,2024-03-08,2024
O00042,2024-05-14,C0148,P008,Scented Candle,Home Decor,600,2,1200,Mpesa,Kenya,2024-05,2024-05-14,2024
O00043,2024-01-22,C0176,P003,Running Shoes,Footwear,4200,2,8400,Card,Rwanda,2024-01,2024-01-22,2024
O00044,2024-10-09,C0109,P003,Running Shoes,Footwear,4200,3,12600,Mpesa,Kenya,2024-10,2024-10-09,2024
O00045,2024-11-12,C0097,P001,Classic Leather Bag,Accessories,2500,1,2500,Mpesa,Kenya,2024-11,2024-11-12,2024
O00046,2024-06-20,C0192,P001,Classic Leather Bag,Accessories,2500,1,2500,Paypal,Rwanda,2024-06,2024-06-20,2024
O00047,2024-08-20,C0117,P006,Office Chair,Furniture,6300,1,6300,Paypal,Kenya,2024-08,2024-08-20,2024
O00048,2024-07-06,C0046,P005,Smartphone Case,Electronics,800,1,800,Cash,Kenya,2024-07,2024-07-06,2024
O00049,2024-11-18,C0160,P007,Espresso Machine,Home Appliances,15000,1,15000,Card,Kenya,2024-11,2024-11-18,2024
O00050,2024-06-22,C0054,P010,Kids Toy Set,Toys,1200,3,3600,Card,Kenya,2024-06,2024-06-22,2024
O00051,2024-06-03,C0086,P007,Espresso Machine,Home Appliances,15000,1,15000,Card,Kenya,2024-06,2024-06-03,2024
O00052,2024-09-02,C0104,P001,Classic Leather Bag,Accessories,2500,1,2500,Card,Kenya,2024-09,2024-09-02,2024
O00053,2024-01-13,C0026,P003,Running Shoes,Footwear,4200,1,4200,Card,Kenya,2024-01,2024-01-13,2024
O00054,2024-05-21,C0036,P004,Wireless Headphones,Electronics,7200,2,14400,Cash,Kenya,2024-05,2024-05-21,2024
O00055,2024-08-02,C0092,P002,Elegant Dress,Clothing,3500,1,3500,Mpesa,Kenya,2024-08,2024-08-02,2024
O00056,2024-12-07,C0186,P006,Office Chair,Furniture,6300,1,6300,Card,Kenya,2024-12,2024-12-07,2024
O00057,2024-04-10,C0015,P006,Office Chair,Furniture,6300,1,6300,Mpesa,Uganda,2024-04,2024-04-10,2024
O00058,2024-09-18,C0108,P005,Smartphone Case,Electronics,800,1,800,Card,Kenya,2024-09,2024-09-18,2024
O00059,2024-11-03,C0047,P003,Running Shoes,Footwear,4200,2,8400,Card,Rwanda,2024-11,2024-11-03,2024
O00060,2024-11-14,C0106,P003,Running Shoes,Footwear,4200,2,8400,Mpesa,Kenya,2024-11,2024-11-14,2024
O00061,2024-11-13,C0090,P005,Smartphone Case,Electronics,800,1,800,Cash,Kenya,2024-11,2024-11-13,2024
O00062,2024-08-26,C0129,P010,Kids Toy Set,Toys,1200,3,3600,Card,Kenya,2024-08,2024-08-26,2024
O00063,2024-09-28,C0048,P009,Gold Necklace,Jewellery,12000,2,24000,Mpesa,Kenya,2024-09,2024-09-28,2024
O00064,2024-03-16,C0069,P006,Office Chair,Furniture,6300,2,12600,Mpesa,Kenya,2024-03,2024-03-16,2024
O00065,2024-08-07,C0086,P009,Gold Necklace,Jewellery,12000,1,12000,Card,Kenya,2024-08,2024-08-07,2024
O00066,2024-08-05,C0190,P004,Wireless Headphones,Electronics,7200,1,7200,Mpesa,Uganda,2024-08,2024-08-05,2024
O00067,2024-12-22,C0100,P001,Classic Leather Bag,Accessories,2500,1,2500,Card,Kenya,2024-12,2024-12-22,2024
O00068,2024-08-10,C0069,P004,Wireless Headphones,Electronics,7200,1,7200,Card,Tanzania,2024-08,2024-08-10,2024
O00069,2024-01-04,C0096,P001,Classic Leather Bag,Accessories,2500,1,2500,Mpesa,Tanzania,2024-01,2024-01-04,2024
O00070,2024-06-08,C0002,P001,Classic Leather Bag,Accessories,2500,3,7500,Paypal,Kenya,2024-06,2024-06-08,2024
O00071,2024-06-27,C0178,P003,Running Shoes,Footwear,4200,2,8400,Cash,Kenya,2024-06,2024-06-27,2024
O00072,2024-02-12,C0065,P001,Classic Leather Bag,Accessories,2500,2,5000,Card,Kenya,2024-02,2024-02-12,2024
O00073,2024-08-29,C0095,P002,Elegant Dress,Clothing,3500,1,3500,Mpesa,Kenya,2024-08,2024-08-29,2024
O00074,2024-04-24,C0008,P010,Kids Toy Set,Toys,1200,2,2400,Card,Kenya,2024-04,2024-04-24,2024
O00075,2024-10-03,C0114,P008,Scented Candle,Home Decor,600,2,1200,Paypal,Kenya,2024-10,2024-10-03,2024
O00076,2024-08-14,C0101,P009,Gold Necklace,Jewellery,12000,1,12000,Paypal,Kenya,2024-08,2024-08-14,2024
O00077,2024-08-11,C0096,P008,Scented Candle,Home Decor,600,3,1800,Cash,Kenya,2024-08,2024-08-11,2024
O00078,2024-12-26,C0013,P007,Espresso Machine,Home Appliances,15000,2,30000,Card,Kenya,2024-12,2024-12-26,2024
O00079,2024-07-05,C0084,P009,Gold Necklace,Jewellery,12000,1,12000,Card,Kenya,2024-07,2024-07-05,2024
O00080,2024-09-21,C0189,P009,Gold Necklace,Jewellery,12000,3,36000,Card,Rwanda,2024-09,2024-09-21,2024
O00081,2024-05-23,C0128,P004,Wireless Headphones,Electronics,7200,1,7200,Mpesa,Kenya,2024-05,2024-05-23,2024
O00082,2024-02-22,C0025,P004,Wireless Headphones,Electronics,7200,2,14400,Mpesa,Uganda,2024-02,2024-02-22,2024
O00083,2024-08-10,C0109,P005,Smartphone Case,Electronics,800,1,800,Card,Kenya,2024-08,2024-08-10,2024
O00084,2024-01-09,C0075,P002,Elegant Dress,Clothing,3500,4,14000,Mpesa,Kenya,2024-01,2024-01-09,2024
O00085,2024-10-09,C0007,P008,Scented Candle,Home Decor,600,1,600,Mpesa,Kenya,2024-10,2024-10-09,2024
O00086,2024-12-30,C0165,P006,Office Chair,Furniture,6300,4,25200,Card,Uganda,2024-12,2024-12-30,2024
O00087,2024-10-18,C0071,P009,Gold Necklace,Jewellery,12000,1,12000,Card,Kenya,2024-10,2024-10-18,2024
O00088,2024-07-20,C0189,P006,Office Chair,Furniture,6300,2,12600,Paypal,Kenya,2024-07,2024-07-20,2024
O00089,2024-02-27,C0195,P002,Elegant Dress,Clothing,3500,1,3500,Mpesa,Uganda,2024-02,2024-02-27,2024
O00090,2024-12-13,C0127,P009,Gold Necklace,Jewellery,12000,2,24000,Paypal,Kenya,2024-12,2024-12-13,2024
O00091,2024-04-26,C0113,P009,Gold Necklace,Jewellery,12000,3,36000,Paypal,Kenya,2024-04,2024-04-26,2024
O00092,2024-07-31,C0160,P005,Smartphone Case,Electronics,800,1,800,Paypal,Kenya,2024-07,2024-07-31,2024
O00093,2024-02-16,C0147,P004,Wireless Headphones,Electronics,7200,1,7200,Mpesa,Kenya,2024-02,2024-02-16,2024
O00094,2024-09-15,C0159,P001,Classic Leather Bag,Accessories,2500,2,5000,Paypal,Kenya,2024-09,2024-09-15,2024
O00095,2024-12-23,C0012,P010,Kids Toy Set,Toys,1200,4,4800,Mpesa,Kenya,2024-12,2024-12-23,2024
O00096,2024-03-30,C0008,P010,Kids Toy Set,Toys,1200,1,1200,Card,Kenya,2024-03,2024-03-30,2024
O00097,2024-07-10,C0028,P005,Smartphone Case,Electronics,800,4,3200,Mpesa,Kenya,2024-07,2024-07-10,2024
O00098,2024-08-07,C0161,P005,Smartphone Case,Electronics,800,3,2400,Card,Kenya,2024-08,2024-08-07,2024
O00099,2024-09-12,C0035,P006,Office Chair,Furniture,6300,3,18900,Mpesa,Tanzania,2024-09,2024-09-12,2024
O00100,2024-09-07,C0010,P008,Scented Candle,Home Decor,600,3,1800,Card,Kenya,2024-09,2024-09-07,2024
O00101,2024-08-11,C0033,P006,Office Chair,Furniture,6300,3,18900,Paypal,Kenya,2024-08,2024-08-11,2024
O00102,2024-10-09,C0026,P009,Gold Necklace,Jewellery,12000,4,48000,Mpesa,Kenya,2024-10,2024-10-09,2024
O00103,2024-11-06,C0105,P003,Running Shoes,Footwear,4200,1,4200,Cash,Uganda,2024-11,2024-11-06,2024
O00104,2024-01-23,C0095,P005,Smartphone Case,Electronics,800,4,3200,Mpesa,Tanzania,2024-01,2024-01-23,2024
O00105,2024-01-01,C0083,P001,Classic Leather Bag,Accessories,2500,1,2500,Paypal,Kenya,2024-01,2024-01-01,2024
O00106,2024-10-14,C0190,P001,Classic Leather Bag,Accessories,2500,2,5000,Card,Kenya,2024-10,2024-10-14,2024
O00107,2024-04-27,C0039,P010,Kids Toy Set,Toys,1200,1,1200,Cash,Kenya,2024-04,2024-04-27,2024
O00108,2024-08-09,C0193,P006,Office Chair,Furniture,6300,4,25200,Mpesa,Kenya,2024-08,2024-08-09,2024
O00109,2024-12-06,C0047,P007,Espresso Machine,Home Appliances,15000,2,30000,Mpesa,Uganda,2024-12,2024-12-06,2024
O00110,2024-08-13,C0103,P006,Office Chair,Furniture,6300,2,12600,Card,Kenya,2024-08,2024-08-13,2024
O00111,2024-11-03,C0030,P003,Running Shoes,Footwear,4200,3,12600,Mpesa,Kenya,2024-11,2024-11-03,2024
O00112,2024-03-21,C0079,P007,Espresso Machine,Home Appliances,15000,1,15000,Paypal,Kenya,2024-03,2024-03-21,2024
O00113,2024-12-05,C0184,P001,Classic Leather Bag,Accessories,2500,1,2500,Mpesa,Rwanda,2024-12,2024-12-05,2024
O00114,2024-08-22,C0053,P002,Elegant Dress,Clothing,3500,1,3500,Mpesa,Kenya,2024-08,2024-08-22,2024
O00115,2024-12-01,C0111,P009,Gold Necklace,Jewellery,12000,1,12000,Card,Kenya,2024-12,2024-12-01,2024
O00116,2024-07-02,C0008,P004,Wireless Headphones,Electronics,7200,1,7200,Mpesa,Tanzania,2024-07,2024-07-02,2024
O00117,2024-02-20,C0155,P002,Elegant Dress,Clothing,3500,2,7000,Card,Kenya,2024-02,2024-02-20,2024
O00118,2024-11-21,C0092,P010,Kids Toy Set,Toys,1200,1,1200,Card,Kenya,2024-11,2024-11-21,2024
O00119,2024-08-05,C0090,P002,Elegant Dress,Clothing,3500,1,3500,Mpesa,Kenya,2024-08,2024-08-05,2024
O00120,2024-02-25,C0047,P009,Gold Necklace,Jewellery,12000,2,24000,Cash,Tanzania,2024-02,2024-02-25,2024
O00121,2024-09-13,C0061,P001,Classic Leather Bag,Accessories,2500,1,2500,Card,Kenya,2024-09,2024-09-13,2024
O00122,2024-01-28,C0180,P008,Scented Candle,Home Decor,600,1,600,Card,Kenya,2024-01,2024-01-28,2024
O00123,2024-11-07,C0109,P010,Kids Toy Set,Toys,1200,1,1200,Card,Kenya,2024-11,2024-11-07,2024
O00124,2024-08-14,C0151,P002,Elegant Dress,Clothing,3500,1,3500,Card,Kenya,2024-08,2024-08-14,2024
O00125,2024-02-08,C0119,P005,Smartphone Case,Electronics,800,1,800,Card,Kenya,2024-02,2024-02-08,2024
O00126,2024-07-30,C0126,P009,Gold Necklace,Jewellery,12000,3,36000,Mpesa,Kenya,2024-07,2024-07-30,2024
O00127,2024-04-20,C0109,P002,Elegant Dress,Clothing,3500,1,3500,Mpesa,Kenya,2024-04,2024-04-20,2024
O00128,2024-02-11,C0168,P001,Classic Leather Bag,Accessories,2500,1,2500,Card,Kenya,2024-02,2024-02-11,2024
O00129,2024-11-10,C0026,P002,Elegant Dress,Clothing,3500,1,3500,Paypal,Kenya,2024-11,2024-11-10,2024
O00130,2024-07-16,C0033,P005,Smartphone Case,Electronics,800,1,800,Card,Kenya,2024-07,2024-07-16,2024
O00131,2024-09-03,C0094,P008,Scented Candle,Home Decor,600,3,1800,Card,Kenya,2024-09,2024-09-03,2024
O00132,2024-11-17,C0036,P008,Scented Candle,Home Decor,600,1,600,Mpesa,Tanzania,2024-11,2024-11-17,2024
O00133,2024-04-03,C0079,P006,Office Chair,Furniture,6300,4,25200,Card,Kenya,2024-04,2024-04-03,2024
O00134,2024-01-26,C0185,P002,Elegant Dress,Clothing,3500,1,3500,Card,Uganda,2024-01,2024-01-26,2024
O00135,2024-10-01,C0070,P010,Kids Toy Set,Toys,1200,1,1200,Card,Kenya,2024-10,2024-10-01,2024
O00136,2024-11-15,C0140,P001,Classic Leather Bag,Accessories,2500,2,5000,Card,Kenya,2024-11,2024-11-15,2024
O00137,2024-06-26,C0100,P003,Running Shoes,Footwear,4200,1,4200,Mpesa,Kenya,2024-06,2024-06-26,2024
O00138,2024-05-09,C0138,P002,Elegant Dress,Clothing,3500,1,3500,Card,Kenya,2024-05,2024-05-09,2024
O00139,2024-02-07,C0073,P001,Classic Leather Bag,Accessories,2500,1,2500,Mpesa,Kenya,2024-02,2024-02-07,2024
O00140,2024-08-23,C0049,P005,Smartphone Case,Electronics,800,3,2400,Mpesa,Tanzania,2024-08,2024-08-23,2024
O00141,2024-02-04,C0137,P002,Elegant Dress,Clothing,3500,1,3500,Paypal,Kenya,2024-02,2024-02-04,2024
O00142,2024-08-16,C0060,P008,Scented Candle,Home Decor,600,3,1800,Card,Kenya,2024-08,2024-08-16,2024
O00143,2024-03-18,C0165,P005,Smartphone Case,Electronics,800,1,800,Mpesa,Kenya,2024-03,2024-03-18,2024
O00144,2024-11-23,C0042,P009,Gold Necklace,Jewellery,12000,2,24000,Mpesa,Kenya,2024-11,2024-11-23,2024
O00145,2024-03-03,C0179,P006,Office Chair,Furniture,6300,1,6300,Mpesa,Kenya,2024-03,2024-03-03,2024
O00146,2024-02-08,C0194,P005,Smartphone Case,Electronics,800,3,2400,Card,Tanzania,2024-02,2024-02-08,2024
O00147,2024-01-15,C0135,P003,Running Shoes,Footwear,4200,1,4200,Cash,Kenya,2024-01,2024-01-15,2024
O00148,2024-04-06,C0155,P004,Wireless Headphones,Electronics,7200,4,28800,Mpesa,Uganda,2024-04,2024-04-06,2024
O00149,2024-01-10,C0033,P004,Wireless Headphones,Electronics,7200,1,7200,Mpesa,Uganda,2024-01,2024-01-10,2024
O00150,2024-10-29,C0118,P006,Office Chair,Furniture,6300,1,6300,Cash,Kenya,2024-10,2024-10-29,2024
O00151,2024-02-16,C0184,P008,Scented Candle,Home Decor,600,1,600,Mpesa,Uganda,2024-02,2024-02-16,2024
O00152,2024-10-18,C0155,P003,Running Shoes,Footwear,4200,2,8400,Mpesa,Kenya,2024-10,2024-10-18,2024
O00153,2024-05-13,C0148,P010,Kids Toy Set,Toys,1200,1,1200,Mpesa,Kenya,2024-05,2024-05-13,2024
O00154,2024-07-28,C0046,P010,Kids Toy Set,Toys,1200,1,1200,Mpesa,Kenya,2024-07,2024-07-28,2024
O00155,2024-05-12,C0060,P004,Wireless Headphones,Electronics,7200,3,21600,Paypal,Kenya,2024-05,2024-05-12,2024
O00156,2024-02-20,C0106,P001,Classic Leather Bag,Accessories,2500,1,2500,Mpesa,Tanzania,2024-02,2024-02-20,2024
O00157,2024-04-10,C0011,P007,Espresso Machine,Home Appliances,15000,1,15000,Paypal,Uganda,2024-04,2024-04-10,2024
O00158,2024-11-14,C0182,P007,Espresso Machine,Home Appliances,15000,3,45000,Card,Kenya,2024-11,2024-11-14,2024
O00159,2024-11-04,C0143,P005,Smartphone Case,Electronics,800,1,800,Card,Uganda,2024-11,2024-11-04,2024
O00160,2024-03-03,C0117,P010,Kids Toy Set,Toys,1200,1,1200,Mpesa,Tanzania,2024-03,2024-03-03,2024
O00161,2024-12-12,C0038,P002,Elegant Dress,Clothing,3500,1,3500,Mpesa,Kenya,2024-12,2024-12-12,2024
O00162,2024-01-25,C0108,P003,Running Shoes,Footwear,4200,1,4200,Mpesa,Kenya,2024-01,2024-01-25,2024
O00163,2024-03-03,C0088,P001,Classic Leather Bag,Accessories,2500,1,2500,Card,Kenya,2024-03,2024-03-03,2024
O00164,2024-12-02,C0114,P005,Smartphone Case,Electronics,800,1,800,Paypal,Kenya,2024-12,2024-12-02,2024
O00165,2024-07-07,C0118,P006,Office Chair,Furniture,6300,1,6300,Card,Kenya,2024-07,2024-07-07,2024
O00166,2024-07-29,C0141,P007,Espresso Machine,Home Appliances,15000,1,15000,Card,Kenya,2024-07,2024-07-29,2024
O00167,2024-09-13,C0049,P008,Scented Candle,Home Decor,600,1,600,Mpesa,Kenya,2024-09,2024-09-13,2024
O00168,2024-04-23,C0194,P006,Office Chair,Furniture,6300,1,6300,Mpesa,Uganda,2024-04,2024-04-23,2024
O00169,2024-02-24,C0132,P001,Classic Leather Bag,Accessories,2500,1,2500,Paypal,Kenya,2024-02,2024-02-24,2024
O00170,2024-03-27,C0110,P002,Elegant Dress,Clothing,3500,1,3500,Paypal,Uganda,2024-03,2024-03-27,2024
O00171,2024-09-03,C0135,P008,Scented Candle,Home Decor,600,1,600,Card,Kenya,2024-09,2024-09-03,2024
O00172,2024-08-16,C0072,P006,Office Chair,Furniture,6300,1,6300,Card,Kenya,2024-08,2024-08-16,2024
O00173,2024-03-28,C0008,P002,Elegant Dress,Clothing,3500,3,10500,Mpesa,Tanzania,2024-03,2024-03-28,2024
O00174,2024-06-30,C0144,P004,Wireless Headphones,Electronics,7200,3,21600,Card,Kenya,2024-06,2024-06-30,2024
O00175,2024-09-19,C0176,P002,Elegant Dress,Clothing,3500,1,3500,Mpesa,Uganda,2024-09,2024-09-19,2024
O00176,2024-07-06,C0112,P003,Running Shoes,Footwear,4200,1,4200,Mpesa,Tanzania,2024-07,2024-07-06,2024
O00177,2024-07-13,C0197,P004,Wireless Headphones,Electronics,7200,1,7200,Mpesa,Kenya,2024-07,2024-07-13,2024
O00178,2024-08-09,C0005,P005,Smartphone Case,Electronics,800,1,800,Card,Tanzania,2024-08,2024-08-09,2024
O00179,2024-12-29,C0099,P004,Wireless Headphones,Electronics,7200,4,28800,Card,Tanzania,2024-12,2024-12-29,2024
O00180,2024-07-27,C0120,P007,Espresso Machine,Home Appliances,15000,2,30000,Mpesa,Kenya,2024-07,2024-07-27,2024
O00181,2024-10-07,C0009,P008,Scented Candle,Home Decor,600,2,1200,Card,Kenya,2024-10,2024-10-07,2024
O00182,2024-04-18,C0004,P010,Kids Toy Set,Toys,1200,1,1200,Mpesa,Kenya,2024-04,2024-04-18,2024
O00183,2024-02-11,C0070,P002,Elegant Dress,Clothing,3500,1,3500,Mpesa,Kenya,2024-02,2024-02-11,2024
O00184,2024-03-16,C0017,P005,Smartphone Case,Electronics,800,2,1600,Card,Kenya,2024-03,2024-03-16,2024
O00185,2024-08-06,C0027,P009,Gold Necklace,Jewellery,12000,1,12000,Mpesa,Kenya,2024-08,2024-08-06,2024
O00186,2024-07-08,C0053,P007,Espresso Machine,Home Appliances,15000,1,15000,Mpesa,Kenya,2024-07,2024-07-08,2024
O00187,2024-10-18,C0054,P001,Classic Leather Bag,Accessories,2500,1,2500,Mpesa,Kenya,2024-10,2024-10-18,2024
O00188,2024-06-12,C0011,P008,Scented Candle,Home Decor,600,1,600,Mpesa,Kenya,2024-06,2024-06-12,2024
O00189,2024-05-31,C0054,P002,Elegant Dress,Clothing,3500,1,3500,Paypal,Kenya,2024-05,2024-05-31,2024
O00190,2024-05-27,C0033,P010,Kids Toy Set,Toys,1200,1,1200,Card,Uganda,2024-05,2024-05-27,2024
O00191,2024-03-13,C0081,P002,Elegant Dress,Clothing,3500,2,7000,Card,Kenya,2024-03,2024-03-13,2024
O00192,2024-02-08,C0061,P008,Scented Candle,Home Decor,600,1,600,Card,Kenya,2024-02,2024-02-08,2024
O00193,2024-12-19,C0108,P003,Running Shoes,Footwear,4200,1,4200,Card,Kenya,2024-12,2024-12-19,2024
O00194,2024-11-25,C0187,P001,Classic Leather Bag,Accessories,2500,1,2500,Mpesa,Kenya,2024-11,2024-11-25,2024
O00195,2024-05-28,C0012,P008,Scented Candle,Home Decor,600,2,1200,Mpesa,Kenya,2024-05,2024-05-28,2024
O00196,2024-03-29,C0198,P008,Scented Candle,Home Decor,600,1,600,Mpesa,Kenya,2024-03,2024-03-29,2024
O00197,2024-09-22,C0109,P010,Kids Toy Set,Toys,1200,1,1200,Mpesa,Rwanda,2024-09,2024-09-22,2024
O00198,2024-09-26,C0026,P005,Smartphone Case,Electronics,800,1,800,Card,Kenya,2024-09,2024-09-26,2024
O00199,2024-08-02,C0115,P008,Scented Candle,Home Decor,600,4,2400,Mpesa,Kenya,2024-08,2024-08-02,2024
O00200,2024-04-12,C0116,P007,Espresso Machine,Home Appliances,15000,1,15000,Card,Kenya,2024-04,2024-04-12,2024
O00201,2024-06-19,C0108,P002,Elegant Dress,Clothing,3500,3,10500,Card,Kenya,2024-06,2024-06-19,2024
O00202,2024-01-04,C0108,P007,Espresso Machine,Home Appliances,15000,1,15000,Mpesa,Kenya,2024-01,2024-01-04,2024
O00203,2024-11-06,C0161,P010,Kids Toy Set,Toys,1200,3,3600,Mpesa,Rwanda,2024-11,2024-11-06,2024
O00204,2024-08-14,C0013,P002,Elegant Dress,Clothing,3500,3,10500,Card,Kenya,2024-08,2024-08-14,2024
O00205,2024-09-01,C0029,P001,Classic Leather Bag,Accessories,2500,1,2500,Mpesa,Kenya,2024-09,2024-09-01,2024
O00206,2024-12-24,C0121,P010,Kids Toy Set,Toys,1200,1,1200,Mpesa,Kenya,2024-12,2024-12-24,2024
O00207,2024-06-06,C0177,P003,Running Shoes,Footwear,4200,1,4200,Cash,Kenya,2024-06,2024-06-06,2024
O00208,2024-03-13,C0037,P009,Gold Necklace,Jewellery,12000,1,12000,Card,Kenya,2024-03,2024-03-13,2024
O00209,2024-07-16,C0196,P010,Kids Toy Set,Toys,1200,2,2400,Paypal,Tanzania,2024-07,2024-07-16,2024
O00210,2024-02-21,C0088,P002,Elegant Dress,Clothing,3500,1,3500,Card,Kenya,2024-02,2024-02-21,2024
O00211,2024-11-25,C0093,P006,Office Chair,Furniture,6300,2,12600,Card,Kenya,2024-11,2024-11-25,2024
O00212,2024-09-18,C0169,P001,Classic Leather Bag,Accessories,2500,4,10000,Cash,Kenya,2024-09,2024-09-18,2024
O00213,2024-08-28,C0177,P009,Gold Necklace,Jewellery,12000,3,36000,Card,Kenya,2024-08,2024-08-28,2024
O00214,2024-08-03,C0178,P002,Elegant Dress,Clothing,3500,2,7000,Cash,Kenya,2024-08,2024-08-03,2024
O00215,2024-03-29,C0013,P008,Scented Candle,Home Decor,600,2,1200,Mpesa,Kenya,2024-03,2024-03-29,2024
O00216,2024-05-02,C0098,P009,Gold Necklace,Jewellery,12000,1,12000,Card,Tanzania,2024-05,2024-05-02,2024
O00217,2024-01-09,C0153,P002,Elegant Dress,Clothing,3500,3,10500,Card,Tanzania,2024-01,2024-01-09,2024
O00218,2024-02-07,C0139,P002,Elegant Dress,Clothing,3500,1,3500,Card,Kenya,2024-02,2024-02-07,2024
